"Date","Price","Open","High","Low","Vol.","Change %"
"08/11/2025","87.660","87.541","87.763","87.472","","0.20%"
"08/08/2025","87.489","87.435","87.759","87.435","","0.05%"
"08/07/2025","87.446","87.715","87.798","87.345","","-0.32%"
"08/06/2025","87.725","87.785","87.851","87.629","","-0.12%"
"08/05/2025","87.830","87.977","87.977","87.736","","0.17%"
"08/04/2025","87.680","87.284","87.727","87.155","","0.50%"
"08/01/2025","87.245","87.490","87.673","87.170","","-0.32%"
"07/31/2025","87.524","87.715","87.796","87.501","","-0.19%"
"07/30/2025","87.691","87.058","87.846","87.050","","0.67%"
"07/29/2025","87.108","86.770","87.108","86.735","","0.47%"
"07/28/2025","86.697","86.481","86.725","86.402","","0.22%"
"07/25/2025","86.503","86.432","86.641","86.405","","0.14%"
"07/24/2025","86.380","86.401","86.445","86.241","","0.00%"
"07/23/2025","86.380","86.328","86.471","86.284","","0.07%"
"07/22/2025","86.322","86.195","86.441","86.180","","0.15%"
"07/21/2025","86.195","86.134","86.362","86.132","","0.05%"
"07/18/2025","86.150","86.010","86.244","85.972","","0.13%"
"07/17/2025","86.035","85.922","86.136","85.796","","0.17%"
"07/16/2025","85.885","85.959","86.081","85.733","","-0.12%"
"07/15/2025","85.991","86.009","86.032","85.742","","-0.03%"
"07/14/2025","86.017","85.824","86.062","85.810","","0.22%"
"07/11/2025","85.825","85.735","85.921","85.690","","0.09%"
"07/10/2025","85.749","85.715","85.766","85.533","","0.08%"
"07/09/2025","85.680","85.760","85.932","85.637","","-0.09%"
"07/08/2025","85.760","85.778","85.835","85.632","","0.00%"
"07/07/2025","85.760","85.575","86.043","85.575","","0.31%"
"07/04/2025","85.497","85.480","85.535","85.307","","0.07%"
"07/03/2025","85.433","85.559","85.708","85.183","","-0.22%"
"07/02/2025","85.625","85.617","85.772","85.566","","-0.01%"
"07/01/2025","85.630","85.700","85.700","85.457","","-0.08%"
"06/30/2025","85.700","85.479","85.845","85.441","","0.29%"
"06/27/2025","85.455","85.640","85.681","85.422","","-0.22%"
"06/26/2025","85.640","86.021","86.055","85.614","","-0.46%"
"06/25/2025","86.040","85.937","86.148","85.791","","0.11%"
"06/24/2025","85.944","86.157","86.265","85.899","","-0.73%"
"06/23/2025","86.580","86.788","86.871","86.571","","0.00%"
"06/20/2025","86.580","86.684","86.698","86.530","","-0.30%"
"06/19/2025","86.840","86.416","86.916","86.416","","0.47%"
"06/18/2025","86.430","86.315","86.573","86.263","","0.13%"
"06/17/2025","86.318","86.030","86.404","85.890","","0.55%"
"06/16/2025","85.846","86.149","86.260","85.782","","-0.30%"
"06/13/2025","86.108","86.164","86.217","85.924","","0.62%"
"06/12/2025","85.581","85.470","85.665","85.401","","0.13%"
"06/11/2025","85.468","85.560","85.631","85.412","","-0.15%"
"06/10/2025","85.596","85.666","85.695","85.505","","-0.09%"
"06/09/2025","85.670","85.803","85.813","85.466","","-0.14%"
"06/06/2025","85.786","85.838","86.005","85.621","","-0.06%"
"06/05/2025","85.835","85.849","85.978","85.663","","-0.05%"
"06/04/2025","85.875","85.692","86.045","85.651","","0.19%"
"06/03/2025","85.709","85.392","85.709","85.359","","0.42%"
"06/02/2025","85.354","85.504","85.594","85.292","","-0.20%"
"05/30/2025","85.525","85.368","85.653","85.248","","0.12%"
"05/29/2025","85.419","85.557","85.620","85.386","","0.01%"
"05/28/2025","85.414","85.519","85.737","85.321","","0.10%"
"05/27/2025","85.330","85.075","85.464","85.040","","0.28%"
"05/26/2025","85.088","85.037","85.184","84.785","","-0.13%"
"05/23/2025","85.200","85.953","86.045","85.111","","-0.92%"
"05/22/2025","85.995","85.609","86.115","85.530","","0.46%"
"05/21/2025","85.600","85.537","85.702","85.486","","0.07%"
"05/20/2025","85.540","85.370","85.659","85.344","","0.18%"
"05/19/2025","85.390","85.463","85.640","85.336","","-0.13%"
"05/16/2025","85.500","85.445","85.700","85.252","","-0.05%"
"05/15/2025","85.546","85.400","85.741","85.348","","0.18%"
"05/14/2025","85.395","85.038","85.522","85.006","","0.14%"
"05/13/2025","85.275","84.838","85.480","84.630","","0.46%"
"05/12/2025","84.885","84.695","84.959","84.592","","-0.61%"
"05/09/2025","85.409","85.884","85.952","85.284","","-0.15%"
"05/08/2025","85.536","84.778","85.810","84.528","","0.96%"
"05/07/2025","84.721","84.647","84.909","84.473","","0.49%"
"05/06/2025","84.305","84.370","84.637","84.250","","0.01%"
"05/05/2025","84.295","84.491","84.525","84.114","","-0.27%"
"05/02/2025","84.527","84.657","84.685","83.765","","-0.07%"
"05/01/2025","84.590","84.609","84.745","84.552","","-0.01%"
"04/30/2025","84.599","85.220","85.268","84.466","","-0.65%"
"04/29/2025","85.155","85.160","85.408","84.945","","-0.01%"
"04/28/2025","85.163","85.382","85.419","84.949","","-0.26%"
"04/25/2025","85.385","85.293","85.660","85.085","","0.07%"
"04/24/2025","85.326","85.515","85.671","85.239","","-0.03%"
"04/23/2025","85.350","85.221","85.533","85.208","","0.20%"
"04/22/2025","85.180","85.159","85.239","85.049","","0.01%"
"04/21/2025","85.170","85.378","85.379","85.025","","-0.30%"
"04/18/2025","85.429","85.409","85.505","85.390","","0.06%"
"04/17/2025","85.380","85.602","85.631","85.313","","-0.24%"
"04/16/2025","85.587","85.713","85.773","85.515","","-0.11%"
"04/15/2025","85.681","86.023","86.023","85.585","","-0.40%"
"04/14/2025","86.021","86.036","86.110","85.869","","-0.20%"
"04/11/2025","86.190","86.244","86.269","85.935","","0.00%"
"04/10/2025","86.190","86.146","86.334","86.118","","-0.53%"
"04/09/2025","86.650","86.353","86.751","86.353","","0.48%"
"04/08/2025","86.240","85.943","86.306","85.812","","0.45%"
"04/07/2025","85.854","85.611","85.913","85.568","","0.41%"
"04/04/2025","85.502","85.282","85.641","84.932","","0.30%"
"04/03/2025","85.247","85.804","85.813","85.203","","-0.24%"
"04/02/2025","85.450","85.611","85.726","85.432","","-0.14%"
"04/01/2025","85.570","85.459","85.660","85.451","","0.14%"
"03/31/2025","85.450","85.459","85.558","85.417","","-0.10%"
"03/28/2025","85.534","85.680","85.739","85.403","","-0.12%"
"03/27/2025","85.640","85.795","85.915","85.625","","0.02%"
"03/26/2025","85.625","85.616","85.895","85.596","","0.05%"
"03/25/2025","85.583","85.532","85.830","85.531","","0.03%"
"03/24/2025","85.560","85.990","86.046","85.475","","-0.50%"
"03/21/2025","85.990","86.325","86.344","85.916","","-0.38%"
"03/20/2025","86.320","86.337","86.418","86.185","","0.01%"
"03/19/2025","86.310","86.574","86.675","86.301","","-0.23%"
"03/18/2025","86.510","86.659","86.783","86.509","","-0.21%"
"03/17/2025","86.690","86.957","86.973","86.691","","-0.29%"
"03/14/2025","86.941","86.923","87.004","86.871","","0.05%"
"03/13/2025","86.897","87.153","87.201","86.923","","-0.29%"
"03/12/2025","87.150","87.183","87.311","87.149","","-0.03%"
"03/11/2025","87.176","87.332","87.390","87.141","","-0.13%"
"03/10/2025","87.290","87.139","87.381","87.138","","0.22%"
"03/07/2025","87.100","87.149","87.220","86.857","","0.10%"
"03/06/2025","87.011","86.872","87.166","86.868","","0.15%"
"03/05/2025","86.880","87.271","87.346","86.876","","-0.43%"
"03/04/2025","87.255","87.334","87.408","87.134","","-0.01%"
"03/03/2025","87.260","87.449","87.449","87.239","","-0.24%"
"02/28/2025","87.466","87.320","87.559","87.266","","0.16%"
"02/27/2025","87.330","87.108","87.427","87.106","","0.25%"
"02/26/2025","87.113","87.086","87.192","87.014","","-0.02%"
"02/25/2025","87.130","86.698","87.263","86.674","","0.54%"
"02/24/2025","86.660","86.655","86.762","86.506","","0.10%"
"02/21/2025","86.572","86.509","86.779","86.456","","0.01%"
"02/20/2025","86.561","86.902","86.926","86.542","","-0.38%"
"02/19/2025","86.890","86.925","86.958","86.815","","0.03%"
"02/18/2025","86.867","86.855","86.987","86.837","","0.07%"
"02/17/2025","86.809","86.676","86.908","86.632","","0.22%"
"02/14/2025","86.620","86.779","86.905","86.562","","-0.08%"
"02/13/2025","86.690","86.950","87.014","86.693","","-0.24%"
"02/12/2025","86.900","86.796","87.034","86.327","","0.13%"
"02/11/2025","86.789","87.476","87.566","86.639","","-0.78%"
"02/10/2025","87.469","87.994","87.997","87.429","","-0.18%"
"02/07/2025","87.627","87.598","87.655","87.309","","0.05%"
"02/06/2025","87.580","87.336","87.676","87.334","","0.28%"
"02/05/2025","87.336","87.075","87.501","87.075","","0.31%"
"02/04/2025","87.070","86.977","87.142","86.948","","0.13%"
"02/03/2025","86.960","86.916","87.305","86.892","","0.49%"
"01/31/2025","86.536","86.667","86.682","86.550","","-0.01%"
"01/30/2025","86.545","86.553","86.661","86.536","","-0.10%"
"01/29/2025","86.630","86.566","86.648","86.485","","0.05%"
"01/28/2025","86.584","86.395","86.596","86.391","","0.27%"
"01/27/2025","86.350","86.244","86.459","86.234","","0.17%"
"01/24/2025","86.200","86.453","86.478","86.150","","-0.27%"
"01/23/2025","86.430","86.475","86.531","86.370","","-0.02%"
"01/22/2025","86.450","86.452","86.601","86.297","","0.00%"
"01/21/2025","86.452","86.211","86.623","86.211","","0.28%"
"01/20/2025","86.209","86.564","86.584","86.201","","-0.42%"
"01/17/2025","86.571","86.610","86.671","86.521","","0.00%"
"01/16/2025","86.570","86.438","86.648","86.382","","0.22%"
"01/15/2025","86.380","86.532","86.599","86.298","","-0.17%"
"01/14/2025","86.525","86.651","86.723","86.470","","-0.14%"
